Symbol,Name,Sector
MMM,3M Company,Industrials
ABT,Abbott Laboratories,Health Care
ABBV,AbbVie,Health Care
ACN,Accenture plc,Information Technology
ATVI,Activision Blizzard,Information Technology
AYI,Acuity Brands Inc,Industrials
ADBE,Adobe Systems Inc,Information Technology
AAP,Advance Auto Parts,Consumer Discretionary
AES,AES Corp,Utilities
AET,Aetna Inc,Health Care
AMG,Affiliated Managers Group Inc,Financials
AFL,AFLAC Inc,Financials
A,Agilent Technologies Inc,Health Care
APD,Air Products & Chemicals Inc,Materials
AKAM,Akamai Technologies Inc,Information Technology
ALK,Alaska Air Group Inc,Industrials
ALB,Albemarle Corp,Materials
ALXN,Alexion Pharmaceuticals,Health Care
ALLE,Allegion,Industrials
AGN,"Allergan, Plc",Health Care
ADS,Alliance Data Systems,Information Technology
LNT,Alliant Energy Corp,Utilities
ALL,Allstate Corp,Financials
GOOGL,Alphabet Inc Class A,Information Technology
GOOG,Alphabet Inc Class C,Information Technology
MO,Altria Group Inc,Consumer Staples
AMZN,Amazon.com Inc,Consumer Discretionary
AEE,Ameren Corp,Utilities
AAL,American Airlines Group,Industrials
AEP,American Electric Power,Utilities
AXP,American Express Co,Financials
AIG,"American International Group, Inc.",Financials
AMT,American Tower Corp A,Real Estate
AWK,American Water Works Company Inc,Utilities
AMP,Ameriprise Financial,Financials
ABC,AmerisourceBergen Corp,Health Care
AME,AMETEK Inc,Industrials
AMGN,Amgen Inc,Health Care
APH,Amphenol Corp,Information Technology
APC,Anadarko Petroleum Corp,Energy
ADI,"Analog Devices, Inc.",Information Technology
ANTM,Anthem Inc.,Health Care
AON,Aon plc,Financials
APA,Apache Corporation,Energy
AIV,Apartment Investment & Mgmt,Real Estate
AAPL,Apple Inc.,Information Technology
AMAT,Applied Materials Inc,Information Technology
ADM,Archer-Daniels-Midland Co,Consumer Staples
ARNC,Arconic Inc,Industrials
AJG,Arthur J. Gallagher & Co.,Financials
AIZ,Assurant Inc,Financials
T,AT&T Inc,Telecommunications Services
ADSK,Autodesk Inc,Information Technology
ADP,Automatic Data Processing,Information Technology
AN,AutoNation Inc,Consumer Discretionary
AZO,AutoZone Inc,Consumer Discretionary
AVB,"AvalonBay Communities, Inc.",Real Estate
AVY,Avery Dennison Corp,Materials
BHI,Baker Hughes Inc,Energy
BLL,Ball Corp,Materials
BAC,Bank of America Corp,Financials
BCR,Bard (C.R.) Inc.,Health Care
BAX,Baxter International Inc.,Health Care
BBT,BB&T Corporation,Financials
BDX,Becton Dickinson,Health Care
BBBY,Bed Bath & Beyond,Consumer Discretionary
BRK.B,Berkshire Hathaway,Financials
BBY,Best Buy Co. Inc.,Consumer Discretionary
BIIB,BIOGEN IDEC Inc.,Health Care
BLK,BlackRock,Financials
HRB,Block H&R,Financials
BA,Boeing Company,Industrials
BWA,BorgWarner,Consumer Discretionary
BXP,Boston Properties,Real Estate
BSX,Boston Scientific,Health Care
BMY,Bristol-Myers Squibb,Health Care
AVGO,Broadcom,Information Technology
BF.B,Brown-Forman Corp.,Consumer Staples
CHRW,C. H. Robinson Worldwide,Industrials
CA,"CA, Inc.",Information Technology
COG,Cabot Oil & Gas,Energy
CPB,Campbell Soup,Consumer Staples
COF,Capital One Financial,Financials
CAH,Cardinal Health Inc.,Health Care
KMX,Carmax Inc,Consumer Discretionary
CCL,Carnival Corp.,Consumer Discretionary
CAT,Caterpillar Inc.,Industrials
CBOE,CBOE Holdings,Financials
CBG,CBRE Group,Real Estate
CBS,CBS Corp.,Consumer Discretionary
CELG,Celgene Corp.,Health Care
CNC,Centene Corporation,Health Care
CNP,CenterPoint Energy,Utilities
CTL,CenturyLink Inc,Telecommunications Services
CERN,Cerner,Health Care
CF,CF Industries Holdings Inc,Materials
SCHW,Charles Schwab Corporation,Financials
CHTR,Charter Communications,Consumer Discretionary
CHK,Chesapeake Energy,Energy
CVX,Chevron Corp.,Energy
CMG,Chipotle Mexican Grill,Consumer Discretionary
CB,Chubb Limited,Financials
CHD,Church & Dwight,Consumer Staples
CI,CIGNA Corp.,Health Care
XEC,Cimarex Energy,Energy
CINF,Cincinnati Financial,Financials
CTAS,Cintas Corporation,Industrials
CSCO,Cisco Systems,Information Technology
C,Citigroup Inc.,Financials
CFG,Citizens Financial Group,Financials
CTXS,Citrix Systems,Information Technology
CME,CME Group Inc.,Financials
CMS,CMS Energy,Utilities
COH,Coach Inc.,Consumer Discretionary
KO,Coca Cola Company,Consumer Staples
CTSH,Cognizant Technology Solutions,Information Technology
CL,Colgate-Palmolive,Consumer Staples
CMCSA,Comcast Corp.,Consumer Discretionary
CMA,Comerica Inc.,Financials
CAG,ConAgra Foods Inc.,Consumer Staples
CXO,Concho Resources,Energy
COP,ConocoPhillips,Energy
ED,Consolidated Edison,Utilities
STZ,Constellation Brands,Consumer Staples
GLW,Corning Inc.,Information Technology
COST,Costco Co.,Consumer Staples
COTY,"Coty, Inc",Consumer Staples
CCI,Crown Castle International Corp.,Real Estate
CSRA,CSRA Inc.,Information Technology
CSX,CSX Corp.,Industrials
CMI,Cummins Inc.,Industrials
CVS,CVS Health,Consumer Staples
DHI,D. R. Horton,Consumer Discretionary
DHR,Danaher Corp.,Health Care
DRI,Darden Restaurants,Consumer Discretionary
DVA,DaVita Inc.,Health Care
DE,Deere & Co.,Industrials
DLPH,Delphi Automotive,Consumer Discretionary
DAL,Delta Air Lines,Industrials
XRAY,Dentsply Sirona,Health Care
DVN,Devon Energy Corp.,Energy
DLR,Digital Realty Trust,Real Estate
DFS,Discover Financial Services,Financials
DISCA,Discovery Communications-A,Consumer Discretionary
DISCK,Discovery Communications-C,Consumer Discretionary
DG,Dollar General,Consumer Discretionary
DLTR,Dollar Tree,Consumer Discretionary
D,Dominion Resources,Utilities
DOV,Dover Corp.,Industrials
DOW,Dow Chemical,Materials
DPS,Dr Pepper Snapple Group,Consumer Staples
DTE,DTE Energy Co.,Utilities
DD,Du Pont (E.I.),Materials
DUK,Duke Energy,Utilities
DNB,Dun & Bradstreet,Industrials
ETFC,E*Trade,Financials
EMN,Eastman Chemical,Materials
ETN,Eaton Corporation,Industrials
EBAY,eBay Inc.,Information Technology
ECL,Ecolab Inc.,Materials
EIX,Edison Int'l,Utilities
EW,Edwards Lifesciences,Health Care
EA,Electronic Arts,Information Technology
EMR,Emerson Electric Company,Industrials
ETR,Entergy Corp.,Utilities
EVHC,Envision Healthcare,Health Care
EOG,EOG Resources,Energy
EQT,EQT Corporation,Energy
EFX,Equifax Inc.,Industrials
EQIX,Equinix,Real Estate
EQR,Equity Residential,Real Estate
ESS,"Essex Property Trust, Inc.",Real Estate
EL,Estee Lauder Cos.,Consumer Staples
ES,Eversource Energy,Utilities
EXC,Exelon Corp.,Utilities
EXPE,Expedia Inc.,Consumer Discretionary
EXPD,Expeditors Int'l,Industrials
ESRX,Express Scripts,Health Care
EXR,Extra Space Storage,Real Estate
XOM,Exxon Mobil Corp.,Energy
FFIV,F5 Networks,Information Technology
FB,"Facebook, Inc.",Information Technology
FAST,Fastenal Co,Industrials
FRT,Federal Realty Investment Trust,Real Estate
FDX,FedEx Corporation,Industrials
FIS,Fidelity National Information Services,Information Technology
FITB,Fifth Third Bancorp,Financials
FSLR,First Solar Inc,Information Technology
FE,FirstEnergy Corp,Utilities
FISV,Fiserv Inc,Information Technology
FLIR,FLIR Systems,Information Technology
FLS,Flowserve Corporation,Industrials
FLR,Fluor Corp.,Industrials
FMC,FMC Corporation,Materials
FTI,FMC Technologies Inc.,Energy
FL,Foot Locker Inc,Consumer Discretionary
F,Ford Motor,Consumer Discretionary
FTV,Fortive Corp,Industrials
FBHS,Fortune Brands Home & Security,Industrials
BEN,Franklin Resources,Financials
FCX,Freeport-McMoRan Inc.,Materials
FTR,Frontier Communications,Telecommunications Services
GPS,Gap (The),Consumer Discretionary
GRMN,Garmin Ltd.,Consumer Discretionary
GD,General Dynamics,Industrials
GE,General Electric,Industrials
GGP,General Growth Properties Inc.,Real Estate
GIS,General Mills,Consumer Staples
GM,General Motors,Consumer Discretionary
GPC,Genuine Parts,Consumer Discretionary
GILD,Gilead Sciences,Health Care
GPN,Global Payments Inc,Information Technology
GS,Goldman Sachs Group,Financials
GT,Goodyear Tire & Rubber,Consumer Discretionary
GWW,Grainger (W.W.) Inc.,Industrials
HAL,Halliburton Co.,Energy
HBI,Hanesbrands Inc,Consumer Discretionary
HOG,Harley-Davidson,Consumer Discretionary
HAR,Harman Int'l Industries,Consumer Discretionary
HRS,Harris Corporation,Information Technology
HIG,Hartford Financial Svc.Gp.,Financials
HAS,Hasbro Inc.,Consumer Discretionary
HCA,HCA Holdings,Health Care
HCP,HCP Inc.,Real Estate
HP,Helmerich & Payne,Energy
HSIC,Henry Schein,Health Care
HES,Hess Corporation,Energy
HPE,Hewlett Packard Enterprise,Information Technology
HOLX,Hologic,Health Care
HD,Home Depot,Consumer Discretionary
HON,Honeywell Int'l Inc.,Industrials
HRL,Hormel Foods Corp.,Consumer Staples
HST,Host Hotels & Resorts,Real Estate
HPQ,HP Inc.,Information Technology
HUM,Humana Inc.,Health Care
HBAN,Huntington Bancshares,Financials
IDXX,IDEXX Laboratories,Health Care
ITW,Illinois Tool Works,Industrials
ILMN,Illumina Inc,Health Care
INCY,Incyte,Health Care
IR,Ingersoll-Rand PLC,Industrials
INTC,Intel Corp.,Information Technology
ICE,Intercontinental Exchange,Financials
IBM,International Business Machines,Information Technology
IP,International Paper,Materials
IPG,Interpublic Group,Consumer Discretionary
IFF,Intl Flavors & Fragrances,Materials
INTU,Intuit Inc.,Information Technology
ISRG,Intuitive Surgical Inc.,Health Care
IVZ,Invesco Ltd.,Financials
IRM,Iron Mountain Incorporated,Real Estate
JBHT,J. B. Hunt Transport Services,Industrials
JEC,Jacobs Engineering Group,Industrials
SJM,JM Smucker,Consumer Staples
JNJ,Johnson & Johnson,Health Care
JCI,Johnson Controls International,Industrials
JPM,JPMorgan Chase & Co.,Financials
JNPR,Juniper Networks,Information Technology
KSU,Kansas City Southern,Industrials
K,Kellogg Co.,Consumer Staples
KEY,KeyCorp,Financials
KMB,Kimberly-Clark,Consumer Staples
KIM,Kimco Realty,Real Estate
KMI,Kinder Morgan,Energy
KLAC,KLA-Tencor Corp.,Information Technology
KSS,Kohl's Corp.,Consumer Discretionary
KHC,Kraft Heinz Co,Consumer Staples
KR,Kroger Co.,Consumer Staples
LB,L Brands Inc.,Consumer Discretionary
LLL,L-3 Communications Holdings,Industrials
LH,Laboratory Corp. of America Holding,Health Care
LRCX,Lam Research,Information Technology
LEG,Leggett & Platt,Consumer Discretionary
LEN,Lennar Corp.,Consumer Discretionary
LUK,Leucadia National Corp.,Financials
LVLT,Level 3 Communications,Telecommunications Services
LLY,Lilly (Eli) & Co.,Health Care
LNC,Lincoln National,Financials
LLTC,Linear Technology Corp.,Information Technology
LKQ,LKQ Corporation,Consumer Discretionary
LMT,Lockheed Martin Corp.,Industrials
L,Loews Corp.,Financials
LOW,Lowe's Cos.,Consumer Discretionary
LYB,LyondellBasell,Materials
MTB,M&T Bank Corp.,Financials
MAC,Macerich,Real Estate
M,Macy's Inc.,Consumer Discretionary
MNK,Mallinckrodt Plc,Health Care
MRO,Marathon Oil Corp.,Energy
MPC,Marathon Petroleum,Energy
MAR,Marriott Int'l.,Consumer Discretionary
MMC,Marsh & McLennan,Financials
MLM,Martin Marietta Materials,Materials
MAS,Masco Corp.,Industrials
MA,Mastercard Inc.,Information Technology
MAT,Mattel Inc.,Consumer Discretionary
MKC,McCormick & Co.,Consumer Staples
MCD,McDonald's Corp.,Consumer Discretionary
MCK,McKesson Corp.,Health Care
MJN,Mead Johnson,Consumer Staples
MDT,Medtronic plc,Health Care
MRK,Merck & Co.,Health Care
MET,MetLife Inc.,Financials
MTD,Mettler Toledo,Health Care
KORS,Michael Kors Holdings,Consumer Discretionary
MCHP,Microchip Technology,Information Technology
MU,Micron Technology,Information Technology
MSFT,Microsoft Corp.,Information Technology
MAA,Mid-America Apartments,Real Estate
MHK,Mohawk Industries,Consumer Discretionary
TAP,Molson Coors Brewing Company,Consumer Staples
MDLZ,Mondelez International,Consumer Staples
MON,Monsanto Co.,Materials
MNST,Monster Beverage,Consumer Staples
MCO,Moody's Corp,Financials
MS,Morgan Stanley,Financials
MSI,Motorola Solutions Inc.,Information Technology
MUR,Murphy Oil,Energy
MYL,Mylan N.V.,Health Care
NDAQ,NASDAQ OMX Group,Financials
NOV,National Oilwell Varco Inc.,Energy
NAVI,Navient,Financials
NTAP,NetApp,Information Technology
NFLX,Netflix Inc.,Information Technology
NWL,Newell Brands,Consumer Discretionary
NFX,Newfield Exploration Co,Energy
NEM,Newmont Mining Corp. (Hldg. Co.),Materials
NWSA,News Corp. Class A,Consumer Discretionary
NWS,News Corp. Class B,Consumer Discretionary
NEE,NextEra Energy,Utilities
NLSN,Nielsen Holdings,Industrials
NKE,Nike,Consumer Discretionary
NI,NiSource Inc.,Utilities
NBL,Noble Energy Inc,Energy
JWN,Nordstrom,Consumer Discretionary
NSC,Norfolk Southern Corp.,Industrials
NTRS,Northern Trust Corp.,Financials
NOC,Northrop Grumman Corp.,Industrials
NRG,NRG Energy,Utilities
NUE,Nucor Corp.,Materials
NVDA,Nvidia Corporation,Information Technology
ORLY,O'Reilly Automotive,Consumer Discretionary
OXY,Occidental Petroleum,Energy
OMC,Omnicom Group,Consumer Discretionary
OKE,ONEOK,Energy
ORCL,Oracle Corp.,Information Technology
PCAR,PACCAR Inc.,Industrials
PH,Parker-Hannifin,Industrials
PDCO,Patterson Companies,Health Care
PAYX,Paychex Inc.,Information Technology
PYPL,PayPal,Information Technology
PNR,Pentair Ltd.,Industrials
PBCT,People's United Financial,Financials
PEP,PepsiCo Inc.,Consumer Staples
PKI,PerkinElmer,Health Care
PRGO,Perrigo,Health Care
PFE,Pfizer Inc.,Health Care
PCG,PG&E Corp.,Utilities
PM,Philip Morris International,Consumer Staples
PSX,Phillips 66,Energy
PNW,Pinnacle West Capital,Utilities
PXD,Pioneer Natural Resources,Energy
PNC,PNC Financial Services,Financials
RL,Polo Ralph Lauren Corp.,Consumer Discretionary
PPG,PPG Industries,Materials
PPL,PPL Corp.,Utilities
PX,Praxair Inc.,Materials
PCLN,Priceline.com Inc,Consumer Discretionary
PFG,Principal Financial Group,Financials
PG,Procter & Gamble,Consumer Staples
PGR,Progressive Corp.,Financials
PLD,Prologis,Real Estate
PRU,Prudential Financial,Financials
PEG,Public Serv. Enterprise Inc.,Utilities
PSA,Public Storage,Real Estate
PHM,Pulte Homes Inc.,Consumer Discretionary
PVH,PVH Corp.,Consumer Discretionary
QRVO,Qorvo,Information Technology
QCOM,QUALCOMM Inc.,Information Technology
PWR,Quanta Services Inc.,Industrials
DGX,Quest Diagnostics,Health Care
RRC,Range Resources Corp.,Energy
RTN,Raytheon Co.,Industrials
O,Realty Income Corporation,Real Estate
RHT,Red Hat Inc.,Information Technology
REG,Regency Centers Corporation,Real Estate
REGN,Regeneron,Health Care
RF,Regions Financial Corp.,Financials
RSG,Republic Services Inc,Industrials
RAI,Reynolds American Inc.,Consumer Staples
RHI,Robert Half International,Industrials
ROK,Rockwell Automation Inc.,Industrials
COL,Rockwell Collins,Industrials
ROP,Roper Industries,Industrials
ROST,Ross Stores,Consumer Discretionary
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary
R,Ryder System,Industrials
SPGI,"S&P Global, Inc.",Financials
CRM,Salesforce.com,Information Technology
SCG,SCANA Corp,Utilities
SLB,Schlumberger Ltd.,Energy
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary
STX,Seagate Technology,Information Technology
SEE,Sealed Air,Materials
SRE,Sempra Energy,Utilities
SHW,Sherwin-Williams,Materials
SIG,Signet Jewelers,Consumer Discretionary
SPG,Simon Property Group Inc,Real Estate
SWKS,Skyworks Solutions,Information Technology
SLG,SL Green Realty,Real Estate
SNA,Snap-On Inc.,Consumer Discretionary
SO,Southern Co.,Utilities
LUV,Southwest Airlines,Industrials
SWN,Southwestern Energy,Energy
SWK,Stanley Black & Decker,Consumer Discretionary
SPLS,Staples Inc.,Consumer Discretionary
SBUX,Starbucks Corp.,Consumer Discretionary
STT,State Street Corp.,Financials
SRCL,Stericycle Inc,Industrials
SYK,Stryker Corp.,Health Care
STI,SunTrust Banks,Financials
SYMC,Symantec Corp.,Information Technology
SYF,Synchrony Financial,Financials
SYY,Sysco Corp.,Consumer Staples
TROW,T. Rowe Price Group,Financials
TGT,Target Corp.,Consumer Discretionary
TEL,TE Connectivity Ltd.,Information Technology
TGNA,"Tegna, Inc.",Consumer Discretionary
TDC,Teradata Corp.,Information Technology
TSO,Tesoro Petroleum Co.,Energy
TXN,Texas Instruments,Information Technology
TXT,Textron Inc.,Industrials
BK,The Bank of New York Mellon Corp.,Financials
CLX,The Clorox Company,Consumer Staples
COO,The Cooper Companies,Health Care
HSY,The Hershey Company,Consumer Staples
MOS,The Mosaic Company,Materials
TRV,The Travelers Companies Inc.,Financials
DIS,The Walt Disney Company,Consumer Discretionary
TMO,Thermo Fisher Scientific,Health Care
TIF,Tiffany & Co.,Consumer Discretionary
TWX,Time Warner Inc.,Consumer Discretionary
TJX,TJX Companies Inc.,Consumer Discretionary
TMK,Torchmark Corp.,Financials
TSS,Total System Services,Information Technology
TSCO,Tractor Supply Company,Consumer Discretionary
TDG,TransDigm Group,Industrials
RIG,Transocean,Energy
TRIP,TripAdvisor,Consumer Discretionary
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary
FOX,Twenty-First Century Fox Class B,Consumer Discretionary
TSN,Tyson Foods,Consumer Staples
USB,U.S. Bancorp,Financials
UDR,UDR Inc,Real Estate
ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary
UA,Under Armour,Consumer Discretionary
UAA,Under Armour,Consumer Discretionary
UNP,Union Pacific,Industrials
UAL,United Continental Holdings,Industrials
UNH,United Health Group Inc.,Health Care
UPS,United Parcel Service,Industrials
URI,"United Rentals, Inc.",Industrials
UTX,United Technologies,Industrials
UHS,"Universal Health Services, Inc.",Health Care
UNM,Unum Group,Financials
URBN,Urban Outfitters,Consumer Discretionary
VFC,V.F. Corp.,Consumer Discretionary
VLO,Valero Energy,Energy
VAR,Varian Medical Systems,Health Care
VTR,Ventas Inc,Real Estate
VRSN,Verisign Inc.,Information Technology
VRSK,Verisk Analytics,Industrials
VZ,Verizon Communications,Telecommunications Services
VRTX,Vertex Pharmaceuticals Inc,Health Care
VIAB,Viacom Inc.,Consumer Discretionary
V,Visa Inc.,Information Technology
VNO,Vornado Realty Trust,Real Estate
VMC,Vulcan Materials,Materials
WMT,Wal-Mart Stores,Consumer Staples
WBA,Walgreens Boots Alliance,Consumer Staples
WM,Waste Management Inc.,Industrials
WAT,Waters Corporation,Health Care
WEC,Wec Energy Group Inc,Utilities
WFC,Wells Fargo,Financials
HCN,Welltower Inc.,Real Estate
WDC,Western Digital,Information Technology
WU,Western Union Co,Information Technology
WRK,WestRock Company,Materials
WY,Weyerhaeuser Corp.,Real Estate
WHR,Whirlpool Corp.,Consumer Discretionary
WFM,Whole Foods Market,Consumer Staples
WMB,Williams Cos.,Energy
WLTW,Willis Towers Watson,Financials
WYN,Wyndham Worldwide,Consumer Discretionary
WYNN,Wynn Resorts Ltd,Consumer Discretionary
XEL,Xcel Energy Inc,Utilities
XRX,Xerox Corp.,Information Technology
XLNX,Xilinx Inc,Information Technology
XL,XL Capital,Financials
XYL,Xylem Inc.,Industrials
YHOO,Yahoo Inc.,Information Technology
YUM,Yum! Brands Inc,Consumer Discretionary
ZBH,Zimmer Biomet Holdings,Health Care
ZION,Zions Bancorp,Financials
ZTS,Zoetis,Health Care
